cityName;stateID;stateName;country
New York;NY;New York;USA
Los Angeles;CA;California;USA
Chicago;IL;Illinois;USA
Miami;FL;Florida;USA
Houston;TX;Texas;USA
Dallas;TX;Texas;USA
Philadelphia;PA;Pennsylvania;USA
Atlanta;GA;Georgia;USA
Washington;DC;District of Columbia;USA
Boston;MA;Massachusetts;USA
Phoenix;AZ;Arizona;USA
Detroit;MI;Michigan;USA
Seattle;WA;Washington;USA
San Francisco;CA;California;USA
San Diego;CA;California;USA
Minneapolis;MN;Minnesota;USA
Tampa;FL;Florida;USA
Brooklyn;NY;New York;USA
Denver;CO;Colorado;USA
Queens;NY;New York;USA
Riverside;CA;California;USA
Las Vegas;NV;Nevada;USA
Baltimore;MD;Maryland;USA
St. Louis;MO;Missouri;USA
Portland;OR;Oregon;USA
San Antonio;TX;Texas;USA
Sacramento;CA;California;USA
Austin;TX;Texas;USA
Orlando;FL;Florida;USA
San Juan;PR;Puerto Rico;USA
San Jose;CA;California;USA
Pittsburgh;PA;Pennsylvania;USA
Indianapolis;IN;Indiana;USA
Manhattan;NY;New York;USA
Cincinnati;OH;Ohio;USA
Kansas City;MO;Missouri;USA
Cleveland;OH;Ohio;USA
Columbus;OH;Ohio;USA
Bronx;NY;New York;USA
Virginia Beach;VA;Virginia;USA
Charlotte;NC;North Carolina;USA
Milwaukee;WI;Wisconsin;USA
Providence;RI;Rhode Island;USA
Jacksonville;FL;Florida;USA
Nashville;TN;Tennessee;USA
Salt Lake City;UT;Utah;USA
Raleigh;NC;North Carolina;USA
Richmond;VA;Virginia;USA
Memphis;TN;Tennessee;USA
Oklahoma City;OK;Oklahoma;USA
Hartford;CT;Connecticut;USA
Louisville;KY;Kentucky;USA
Buffalo;NY;New York;USA
New Orleans;LA;Louisiana;USA
Fort Worth;TX;Texas;USA
Bridgeport;CT;Connecticut;USA
Tucson;AZ;Arizona;USA
El Paso;TX;Texas;USA
Omaha;NE;Nebraska;USA
McAllen;TX;Texas;USA
Birmingham;AL;Alabama;USA
Albuquerque;NM;New Mexico;USA
Tulsa;OK;Oklahoma;USA
Fresno;CA;California;USA
Charleston;SC;South Carolina;USA
Rochester;NY;New York;USA
Dayton;OH;Ohio;USA
Cape Coral;FL;Florida;USA
Mission Viejo;CA;California;USA
Colorado Springs;CO;Colorado;USA
Baton Rouge;LA;Louisiana;USA
Allentown;PA;Pennsylvania;USA
Ogden;UT;Utah;USA
Provo;UT;Utah;USA
Knoxville;TN;Tennessee;USA
Grand Rapids;MI;Michigan;USA
Columbia;SC;South Carolina;USA
Albany;NY;New York;USA
Bakersfield;CA;California;USA
New Haven;CT;Connecticut;USA
Des Moines;IA;Iowa;USA
Akron;OH;Ohio;USA
Palm Bay;FL;Florida;USA
Concord;CA;California;USA
Wichita;KS;Kansas;USA
Mesa;AZ;Arizona;USA
Harrisburg;PA;Pennsylvania;USA
Staten Island;NY;New York;USA
Toledo;OH;Ohio;USA
Worcester;MA;Massachusetts;USA
Long Beach;CA;California;USA
Port St. Lucie;FL;Florida;USA
Little Rock;AR;Arkansas;USA
Reno;NV;Nevada;USA
Spokane;WA;Washington;USA
Madison;WI;Wisconsin;USA
Boise;ID;Idaho;USA
Bonita Springs;FL;Florida;USA
Denton;TX;Texas;USA
Oakland;CA;California;USA
Springfield;MA;Massachusetts;USA
Augusta;GA;Georgia;USA
Kissimmee;FL;Florida;USA
Winston-Salem;NC;North Carolina;USA
Stockton;CA;California;USA
Syracuse;NY;New York;USA
Chattanooga;TN;Tennessee;USA
Lancaster;PA;Pennsylvania;USA
Greenville;SC;South Carolina;USA
Durham;NC;North Carolina;USA
Pensacola;FL;Florida;USA
Fayetteville;AR;Arkansas;USA
Arlington;TX;Texas;USA
Aurora;CO;Colorado;USA
Oxnard;CA;California;USA
Indio;CA;California;USA
Scranton;PA;Pennsylvania;USA
Victorville;CA;California;USA
Trenton;NJ;New Jersey;USA
Modesto;CA;California;USA
Huntsville;AL;Alabama;USA
Honolulu;HI;Hawaii;USA
Greensboro;NC;North Carolina;USA
Anaheim;CA;California;USA
Corpus Christi;TX;Texas;USA
Fort Wayne;IN;Indiana;USA
Fort Collins;CO;Colorado;USA
Jackson;MS;Mississippi;USA
Myrtle Beach;SC;South Carolina;USA
Fayetteville;NC;North Carolina;USA
Antioch;CA;California;USA
Lansing;MI;Michigan;USA
Lexington;KY;Kentucky;USA
Mobile;AL;Alabama;USA
Youngstown;OH;Ohio;USA
Henderson;NV;Nevada;USA
Savannah;GA;Georgia;USA
Poughkeepsie;NY;New York;USA
Santa Ana;CA;California;USA
Ann Arbor;MI;Michigan;USA
St. Paul;MN;Minnesota;USA
Newark;NJ;New Jersey;USA
Irvine;CA;California;USA
Santa Rosa;CA;California;USA
Canton;OH;Ohio;USA
Asheville;NC;North Carolina;USA
Flint;MI;Michigan;USA
Winter Haven;FL;Florida;USA
Anchorage;AK;Alaska;USA
Lincoln;NE;Nebraska;USA
Concord;NC;North Carolina;USA
Jersey City;NJ;New Jersey;USA
Springfield;MO;Missouri;USA
Plano;TX;Texas;USA
Shreveport;LA;Louisiana;USA
Davenport;IA;Iowa;USA
Lubbock;TX;Texas;USA
Lakeland;FL;Florida;USA
South Bend;IN;Indiana;USA
Chula Vista;CA;California;USA
Chandler;AZ;Arizona;USA
Rockford;IL;Illinois;USA
Reading;PA;Pennsylvania;USA
Eugene;OR;Oregon;USA
Wilmington;NC;North Carolina;USA
Santa Clarita;CA;California;USA
Gilbert;AZ;Arizona;USA
Salem;OR;Oregon;USA
Killeen;TX;Texas;USA
Round Lake Beach;IL;Illinois;USA
Columbus;GA;Georgia;USA
North Las Vegas;NV;Nevada;USA
Kennewick;WA;Washington;USA
St. Petersburg;FL;Florida;USA
Tallahassee;FL;Florida;USA
Laredo;TX;Texas;USA
Irving;TX;Texas;USA
Peoria;IL;Illinois;USA
Montgomery;AL;Alabama;USA
Chesapeake;VA;Virginia;USA
Glendale;AZ;Arizona;USA
York;PA;Pennsylvania;USA
Nashua;NH;New Hampshire;USA
Garland;TX;Texas;USA
Scottsdale;AZ;Arizona;USA
Lafayette;LA;Louisiana;USA
Norfolk;VA;Virginia;USA
Arlington;VA;Virginia;USA
Appleton;WI;Wisconsin;USA
Aguadilla;PR;Puerto Rico;USA
Rock Hill;SC;South Carolina;USA
Fremont;CA;California;USA
Fargo;ND;North Dakota;USA
Gulfport;MS;Mississippi;USA
Bremerton;WA;Washington;USA
Green Bay;WI;Wisconsin;USA
Enterprise;NV;Nevada;USA
Hialeah;FL;Florida;USA
Deltona;FL;Florida;USA
San Bernardino;CA;California;USA
Gainesville;FL;Florida;USA
Spring Valley;NV;Nevada;USA
Tacoma;WA;Washington;USA
Roanoke;VA;Virginia;USA
Brownsville;TX;Texas;USA
College Station;TX;Texas;USA
Olympia;WA;Washington;USA
Clarksville;TN;Tennessee;USA
Yonkers;NY;New York;USA
Moreno Valley;CA;California;USA
Thousand Oaks;CA;California;USA
Portland;ME;Maine;USA
Fontana;CA;California;USA
Hickory;NC;North Carolina;USA
Amarillo;TX;Texas;USA
Sioux Falls;SD;South Dakota;USA
Evansville;IN;Indiana;USA
Huntington;WV;West Virginia;USA
Waterbury;CT;Connecticut;USA
Frisco;TX;Texas;USA
Lorain;OH;Ohio;USA
Kalamazoo;MI;Michigan;USA
Galveston;TX;Texas;USA
Spartanburg;SC;South Carolina;USA
Santa Barbara;CA;California;USA
Sunrise Manor;NV;Nevada;USA
Huntington Beach;CA;California;USA
Grand Prairie;TX;Texas;USA
Overland Park;KS;Kansas;USA
McKinney;TX;Texas;USA
Waco;TX;Texas;USA
Hagerstown;MD;Maryland;USA
Glendale;CA;California;USA
Nampa;ID;Idaho;USA
Peoria;AZ;Arizona;USA
Cedar Rapids;IA;Iowa;USA
Vancouver;WA;Washington;USA
Paradise;NV;Nevada;USA
Ocala;FL;Florida;USA
Erie;PA;Pennsylvania;USA
Newport News;VA;Virginia;USA
Frederick;MD;Maryland;USA
Murfreesboro;TN;Tennessee;USA
Fort Lauderdale;FL;Florida;USA
Aurora;IL;Illinois;USA
Tempe;AZ;Arizona;USA
Danbury;CT;Connecticut;USA
Spring Hill;FL;Florida;USA
Gastonia;NC;North Carolina;USA
Salinas;CA;California;USA
Fredericksburg;VA;Virginia;USA
Ontario;CA;California;USA
Elk Grove;CA;California;USA
Gainesville;GA;Georgia;USA
Cary;NC;North Carolina;USA
Rancho Cucamonga;CA;California;USA
Oceanside;CA;California;USA
Garden Grove;CA;California;USA
Lancaster;CA;California;USA
Hemet;CA;California;USA
Pembroke Pines;FL;Florida;USA
Panama City;FL;Florida;USA
Vallejo;CA;California;USA
Manchester;NH;New Hampshire;USA
Medford;OR;Oregon;USA
Bayamon;PR;Puerto Rico;USA
Mauldin;SC;South Carolina;USA
Santa Cruz;CA;California;USA
Palmdale;CA;California;USA
Norwich;CT;Connecticut;USA
Muskegon;MI;Michigan;USA
Leesburg;FL;Florida;USA
High Point;NC;North Carolina;USA
Tuscaloosa;AL;Alabama;USA
Visalia;CA;California;USA
Marysville;WA;Washington;USA
Merced;CA;California;USA
Hayward;CA;California;USA
Lafayette;IN;Indiana;USA
Springfield;IL;Illinois;USA
Corona;CA;California;USA
Paterson;NJ;New Jersey;USA
Alexandria;VA;Virginia;USA
Macon;GA;Georgia;USA
Binghamton;NY;New York;USA
Lakewood;CO;Colorado;USA
Kansas City;KS;Kansas;USA
Odessa;TX;Texas;USA
