number;lat;lng
11616;57.7566;-155.981
13038;61.0595;-149.7853
8792;61.09085;-149.7667
26604;64.89139;-147.8142
75309;61.96802;-145.3427
637;61.5;-142.9
25442;63.98869;-142.7691
9317;62.9375;-141.5667
23666;62.77335;-141.3165
12088;62.0875;-136.2924
16779;60.69976;-135.1155
13061;60.36933;-134.4837
7963;55.2035;-132.8202
2917;55.1872;-132.7982
8797;55.4555;-132.7333
14344;56.54958;-129.4015
65630;56.03458;-129.1523
26050;50.8604;-127.735
27281;54.78464;-127.1616
40345;50.47305;-125.8811
7911;50.09222;-125.5634
20758;49.07165;-125.4736
15571;49.58458;-125.4051
18534;49.26528;-125.3675
857;49.70889;-125.2581
2852;49.5368;-125.1676
40024;49.5298;-124.8627
43994;49.5828;-124.7914
930;48.1609;-124.7312
26765;49.4085;-124.6929
28087;48.27646;-124.6802
65667;48.11949;-124.5989
6058;47.9477;-124.5301
1720;42.82;-124.53
42352;43;-124.43
11449;42.4018;-124.426
18115;50.2368;-124.4165
65807;47.72142;-124.3985
35409;47.94001;-124.3863
9276;43.1786;-124.3688
11040;47.5532;-124.3324
2841;42.07;-124.3
2900;42.08;-124.3
945;47.57778;-124.2933
15274;48.83319;-124.2872
6579;53.53125;-124.2721
28781;47.2838;-124.2306
13729;42.28445;-124.2148
5260;41.75611;-124.2006
1031;40.1;-124.2
15652;40.3;-124.2
35669;47.19006;-124.199
57781;47.82243;-124.195
25368;48.7305;-124.1744
12594;46.92694;-124.1736
41111;46.96189;-124.1692
65451;47.0709;-124.166
528;40.80222;-124.1625
25140;49.1497;-124.1526
46520;46.96114;-124.1526
74293;41.0773;-124.1461
24929;41.84998;-124.1417
10977;43.9311;-124.1214
7455;46.81045;-124.072
16342;41.21385;-124.0687
2935;41.30056;-124.0644
8745;43.2547;-124.0598
8234;41.28694;-124.0586
42448;47.0562;-124.0556
1131;47.0413;-124.053
26440;46.31401;-124.0273
7954;42.6425;-124.0255
11147;46.2262;-124.0133
23811;40.35259;-124.0101
9283;40.465;-124
24216;47.2331;-123.9878
72111;40.44307;-123.9863
67380;43.27402;-123.9834
5529;44.19167;-123.975
13653;45.145;-123.972
14112;47.3631;-123.9718
96;43.7827;-123.9599
10097;46.19945;-123.9513
10878;49.54;-123.94
12098;47.86028;-123.9364
3766;45.99378;-123.9211
63645;40.01142;-123.9122
13800;48.87097;-123.9035
369;41.16;-123.9
6814;47.4645;-123.8979
959;47.2475;-123.8886
42408;47.49367;-123.8859
12844;47.86697;-123.8796
1102;46.7818;-123.8793
1225;47.41306;-123.8792
7003;47.4259;-123.8763
3297;43.54165;-123.875
15961;49.0489;-123.8713
6961;40.26639;-123.8692
6963;40.26639;-123.8692
2102;45.75449;-123.866
10062;46.988;-123.8647
12917;41.65;-123.85
62496;41.85526;-123.8435
12855;49.53;-123.84
12876;46.93755;-123.8358
24379;47.50319;-123.8343
1723;47.93722;-123.82
24751;46.4205;-123.8165
12838;46.98621;-123.8161
4886;39.44583;-123.8042
1578;41.8607;-123.793
63033;41.89288;-123.7879
67556;40.03527;-123.7876
26101;46.94102;-123.7727
8059;39.22361;-123.7675
62714;47.44;-123.7635
25445;42.22501;-123.75
4043;41.37861;-123.7481
10091;48.1368;-123.7349
36326;47.08824;-123.7194
9510;48.08025;-123.7108
28532;46.82742;-123.7095
548;45.06215;-123.7027
11519;40.85;-123.7
24399;45.06881;-123.6956
7537;45.0608;-123.694
23300;46.35099;-123.6886
69315;41.0312;-123.669
13362;41.25;-123.6667
3064;45.07072;-123.6664
1227;47.01139;-123.6619
7452;41.23528;-123.6581
6724;42.16298;-123.6481
8392;42.24165;-123.6416
2599;46.9705;-123.6288
5232;40.94083;-123.6283
3148;45.70835;-123.625
26646;42.16024;-123.6216
17331;48.56704;-123.6171
45813;45.59864;-123.6113
6425;46.35639;-123.6081
958;47.33694;-123.5894
929;48.0281;-123.5864
8948;44.8458;-123.5834
13816;47.969;-123.582
6734;45.0487;-123.5792
22996;43.2073;-123.5585
26137;44.50455;-123.5524
11576;40.85;-123.55
690;45.5891;-123.5469
6232;46.33425;-123.5439
9547;45.93701;-123.5417
11016;42.1533;-123.5381
25533;43.61538;-123.5036
3387;43.16815;-123.4911
6962;40.20556;-123.4908
7580;47.2293;-123.4898
1226;47.0033;-123.4822
6521;39.68833;-123.4817
7860;39.68833;-123.4817
102;45.7351;-123.466
24328;46.03193;-123.4573
206;43.7667;-123.455
27609;41.65925;-123.4498
4481;42.39031;-123.449
3633;44.86875;-123.4462
15782;39.06583;-123.4439
4846;44.58335;-123.4166
6655;42.09224;-123.4043
12019;42.354;-123.4034
29700;46.71103;-123.4013
36280;45.61308;-123.3973
9850;47.2055;-123.3958
24146;39.51489;-123.3899
946;46.9782;-123.3893
3702;42.375;-123.3833
1106;47.9261;-123.3769
702;45.59669;-123.3768
13839;41.8111;-123.375
18620;46.60207;-123.3749
3200;44.09462;-123.3724
31009;48.08955;-123.3678
24564;48.35765;-123.3647
553;44.55505;-123.3604
3209;45.76569;-123.3601
12294;41.75;-123.35
13424;41.75;-123.35
191;45.63606;-123.3471
14891;42.0833;-123.3333
3780;42.56805;-123.3322
1504;48.0985;-123.3261
45423;47.41184;-123.3212
72142;46.94365;-123.3173
9393;43.5251;-123.311
7957;45.82565;-123.296
22431;41.23598;-123.292
24892;42.125;-123.2916
18823;47.00625;-123.2902
23771;42.02106;-123.2725
13419;40.7485;-123.2718
22570;43.6744;-123.2675
7148;45.4915;-123.2665
10928;44.6693;-123.2433
6971;38.51639;-123.24
22500;39.83929;-123.2393
11137;46.8434;-123.2383
24024;46.63153;-123.2349
1567;47.3542;-123.2334
28207;47.46872;-123.2259
6706;40.0625;-123.2208
23160;47.49865;-123.2182
5299;47.8306;-123.2135
10633;49.94374;-123.2054
7146;47.4028;-123.2022
16053;47.3978;-123.2008
28487;47.41995;-123.2005
16416;47.396;-123.1976
283;47.5616;-123.1967
4353;46.1911;-123.1875
5637;41.31917;-123.1778
3295;43.225;-123.175
26116;41.98645;-123.1749
23558;46.98278;-123.1742
59632;45.85606;-123.1691
21354;41.8333;-123.1668
8227;43.3029;-123.1611
42304;47.61922;-123.1592
58133;47.57132;-123.1586
2760;47.2641;-123.1583
10279;39.25;-123.15
28485;47.29435;-123.1267
7439;47.5958;-123.1208
10001;59.61;-123.12
940;46.1903;-123.1175
8735;39.83;-123.115
1495;47.1305;-123.0966
43859;47.12015;-123.0865
64019;45.46429;-123.0697
25260;38.83996;-123.0585
22434;41.28996;-123.056
25462;47.71782;-123.0533
28409;46.50835;-123.0235
65789;42.2356;-123.0137
2896;41.82417;-122.9958
1829;45.48204;-122.9903
72040;46.76017;-122.9896
40378;47.6653;-122.9714
4737;46.6622;-122.9627
9204;45.7492;-122.9546
23068;48.03632;-122.9539
46477;47.67304;-122.941
1564;46.49139;-122.9367
50901;44.05917;-122.9343
63748;46.20128;-122.9329
17432;46.50511;-122.9316
941;47.7079;-122.9179
39025;48.00503;-122.911
942;47.7442;-122.8994
531;45.63893;-122.8889
25764;43.40867;-122.8887
1568;47.27667;-122.8858
8197;47.23194;-122.885
12689;47.28069;-122.8833
27897;46.50105;-122.8722
7773;40.9913;-122.8719
23460;47.28435;-122.8665
8978;47.9237;-122.8531
7209;44.6616;-122.8494
67472;47.89745;-122.8345
7382;46.0471;-122.8294
3613;48.09725;-122.8241
4669;46.37;-122.82
14642;40.6789;-122.8055
9020;43.6583;-122.8042
6309;47.94056;-122.7919
16624;45.11259;-122.7875
1595;47.3704;-122.782
7642;45.03575;-122.7789
12100;49.72417;-122.7746
29055;46.63477;-122.7746
1683;46.985;-122.7669
1585;46.9363;-122.7607
34710;46.78571;-122.7515
2681;42.08845;-122.7465
50214;47.34805;-122.741
33867;46.48508;-122.7372
1653;40.63556;-122.7325
69614;47.52877;-122.7197
63141;43.85062;-122.7085
1393;47.7613;-122.7063
28856;46.86044;-122.7043
9648;38.75;-122.7
27327;41.1139;-122.7
28197;46.98578;-122.6997
7115;40.98333;-122.6986
9047;48.247;-122.6916
3281;46.96515;-122.69
20435;46.94445;-122.6893
1587;46.94913;-122.6869
1596;46.94917;-122.6869
50678;46.958;-122.6755
18298;40.7333;-122.6667
17903;48.39936;-122.645
26381;40.8333;-122.6417
2628;44.8633;-122.6397
8069;41.72944;-122.6361
25976;46.51479;-122.6361
29303;46.97441;-122.6317
50160;47.09982;-122.6246
406;46.05333;-122.6228
20415;49.0922;-122.6089
29975;47.147;-122.6028
32824;47.10637;-122.5958
62996;46.364;-122.5935
11930;47.0849;-122.5926
4359;46.3758;-122.5855
8598;38.415;-122.585
15067;44.915;-122.585
3169;38.25583;-122.5833
1591;47.3724;-122.5819
1586;47.32944;-122.5789
32654;41.845;-122.575
4644;44.79307;-122.5674
26580;46.38448;-122.5572
28823;47.77293;-122.5552
9534;43.296;-122.5541
38933;40.5835;-122.553
11918;47.79;-122.54
337;47.0044;-122.5386
1584;47.00444;-122.5386
22816;47.74225;-122.5377
37730;47.09762;-122.5368
13721;47.7504;-122.535
