number;title;timestamp
60; Missing Cattle and large footprints found1994-05-13T12:00:00Z;1994-05-13T12:00:00Z
76; Three fisherman hear thrashing about and loud vocalizations2001-08-11T12:00:00Z;2001-08-11T12:00:00Z
77; Couple hear vocalizations while camping at Milk Lake1983-09-01T12:00:00Z;1983-09-01T12:00:00Z
80;" Late Arriving Campers Hear Running Stomping Shrieking Howling""";1983-08-12T12:00:00Z
83; Early dawn sighting by hunters near Bass Lake1988-10-01T12:00:00Z;1988-10-01T12:00:00Z
85; 16 year old has strange experience walking home2000-06-08T12:00:00Z;2000-06-08T12:00:00Z
89; Fishermen hear large animal crashing through the brush in the Blue Mountains2000-07-24T12:00:00Z;2000-07-24T12:00:00Z
96; Young camper frightened by large hand gathering berries1978-06-25T12:00:00Z;1978-06-25T12:00:00Z
97; Hunter sees footprints near Alturas1992-10-01T12:00:00Z;1992-10-01T12:00:00Z
102;" Couple hears unknown howl later finds possible deformed track""";2000-08-19T12:00:00Z
109; Union Pacific Railway Conductor Observes Great Ape on Railroad Trackbed1995-07-10T12:00:00Z;1995-07-10T12:00:00Z
113;" Son and friend find footprints. Later something stalks them along riverbank incident retold by his father""";1975-10-01T12:00:00Z
115; Young girls have daylight sighting near their home1976-08-15T12:00:00Z;1976-08-15T12:00:00Z
116; Possible Injured Juvenile on I-84 near Boardman1995-03-31T12:00:00Z;1995-03-31T12:00:00Z
135; Two couples shine owl and observe large hairy primate1981-08-15T12:00:00Z;1981-08-15T12:00:00Z
140; Characteristic vocalization heard by hunter on Hayden Mountain1996-08-24T12:00:00Z;1996-08-24T12:00:00Z
147; Sound reports from resident in South Lake Tahoe2000-06-15T12:00:00Z;2000-06-15T12:00:00Z
175; Campers encounter large animal near Cle Elum2000-07-30T12:00:00Z;2000-07-30T12:00:00Z
177; Elk hunters hear screams in remote canyon below1988-10-19T12:00:00Z;1988-10-19T12:00:00Z
179;" Man and witnesses have two seperate sighting 1st while fishing 2nd while driving""";1981-09-15T12:00:00Z
186; Two boys are chased by sasquatch2001-08-11T12:00:00Z;2001-08-11T12:00:00Z
187; Unusual vocalization heard near Sandy2000-07-22T12:00:00Z;2000-07-22T12:00:00Z
191; Daytime sighting by motorists along Hwy 6 near Glenwood1984-07-31T12:00:00Z;1984-07-31T12:00:00Z
202; Woman sees black shiny figure standing by tree disappear into forest1998-05-15T12:00:00Z;1998-05-15T12:00:00Z
203; Possible sighting by a camper near the Dolly Sods Wilderness area2000-07-23T12:00:00Z;2000-07-23T12:00:00Z
206; Videocamera Accidently Captures Distant Bipedal Movement near Smith River Road1999-07-15T12:00:00Z;1999-07-15T12:00:00Z
211;" Daylight sighting by a hunter east of Alberta Hwy 22 near Hwy 532""";1995-11-18T12:00:00Z
245;" Two outdoorsman fishing loud vocalizations footsteps heard""";1999-07-15T12:00:00Z
246; Daylight sighting by hunter near FL / GA border1994-12-18T12:00:00Z;1994-12-18T12:00:00Z
257;" Mother describes possible observations by children near Tipp City along Miami River""";2000-09-01T12:00:00Z
270; Campers awakened by late-night visitor in the Indian Heaven Wilderness1985-07-01T12:00:00Z;1985-07-01T12:00:00Z
273; Husband and wife hear scream while fishing1994-09-15T12:00:00Z;1994-09-15T12:00:00Z
283; Couple hear sounds and find footprints near Hoodsport1992-08-29T12:00:00Z;1992-08-29T12:00:00Z
317;" Sighting by a courier near Benton across from a log cabin on Cole Cemetery Road""";1990-04-15T12:00:00Z
337; Man working his land hears rock against wood sound and distant answer2000-08-16T12:00:00Z;2000-08-16T12:00:00Z
338; Loud screams menace hunters along Mississippi River around 41983-10-15T12:00:00Z;1983-10-15T12:00:00Z
348; Teen and uncle chase reddish bigfoot in San Isabel National Forest2000-08-20T12:00:00Z;2000-08-20T12:00:00Z
353; Night sighting by two motorists near Lake Tahoe2000-09-23T12:00:00Z;2000-09-23T12:00:00Z
359; Daylight sighting by motorcyclist near Atwater2000-08-01T12:00:00Z;2000-08-01T12:00:00Z
369; Possible vocalizations heard by backcountry hikers in Redwoods National Park2006-05-31T12:00:00Z;2006-05-31T12:00:00Z
374; Two women driving to work are surprised to see a very large hair covered biped running along the side of their car.1977-02-01T12:00:00Z;1977-02-01T12:00:00Z
378;" Sighting by woman visiting an old rural cemetery near Logan""";2000-07-11T12:00:00Z
382; Campers hear screams and wood knocking near Bumping Lake2000-07-21T12:00:00Z;2000-07-21T12:00:00Z
391; Blocking of walking trail1999-05-12T12:00:00Z;1999-05-12T12:00:00Z
398; Woman and friend drive past amazing animal on Georgia backroad2005-01-31T12:00:00Z;2005-01-31T12:00:00Z
400; Woman remembers encounter not far from Brazos River.2003-10-17T12:00:00Z;2003-10-17T12:00:00Z
406;" Fisherman observes large bipedal figure along Kalama River""";1984-09-01T12:00:00Z
407; Possible vocalizations heard while motorists were taking a break at turnout near La Manga Pass2000-04-19T12:00:00Z;2000-04-19T12:00:00Z
408; Daylight sighting by hikers in the Loveland Pass area (Cont. Div.)2000-08-26T12:00:00Z;2000-08-26T12:00:00Z
412; Cousins followed for a quarter mile1995-07-05T12:00:00Z;1995-07-05T12:00:00Z
414; Year long sightings by family1974-07-15T12:00:00Z;1974-07-15T12:00:00Z
415; 2 men hear vocalization while calling up coyoties1981-10-15T12:00:00Z;1981-10-15T12:00:00Z
416; A resident's early evening sighting next to his home near New Market1983-11-15T12:00:00Z;1983-11-15T12:00:00Z
